fascia,sesso,anno,1A,1B
14-17,M,2010,"24,3","70,5"
18-24,M,2010,"23,3","73,6"
25-34,M,2010,"21,7","74,9"
35-44,M,2010,"22,7","74,9"
45-54,M,2010,"26,4","72,0"
55-64,M,2010,"26,5","71,6"
65-74,M,2010,"22,0","76,3"
>75,M,2010,"16,6","80,8"
14-17,F,2010,"19,7","73,8"
18-24,F,2010,"16,7","80,7"
25-34,F,2010,"18,5","79,2"
35-44,F,2010,"21,6","76,4"
45-54,F,2010,"25,2","72,5"
55-64,F,2010,"23,1","74,9"
65-74,F,2010,"18,1","79,7"
>75,F,2010,"14,3","83,3"
14-17,M,2011,"26,7","67,5"
18-24,M,2011,"22,4","74,4"
25-34,M,2011,"20,7","76,4"
35-44,M,2011,"23,4","74,2"
45-54,M,2011,"24,4","73,6"
55-64,M,2011,"26,2","72,2"
65-74,M,2011,"20,1","78,5"
>75,M,2011,"18,0","79,9"
14-17,F,2011,"19,9","75,9"
18-24,F,2011,"16,4","81,1"
25-34,F,2011,"18,5","79,5"
35-44,F,2011,"20,6","77,8"
45-54,F,2011,"23,0","75,7"
55-64,F,2011,"21,5","76,4"
65-74,F,2011,"18,2","80,3"
>75,F,2011,"14,8","83,2"
14-17,M,2012,"23,0","72,4"
18-24,M,2012,"22,9","74,8"
25-34,M,2012,"21,9","76,2"
35-44,M,2012,"23,0","74,8"
45-54,M,2012,"23,3","74,8"
55-64,M,2012,"23,7","75,1"
65-74,M,2012,"17,3","81,3"
>75,M,2012,"15,8","82,1"
14-17,F,2012,"19,7","77,1"
18-24,F,2012,"18,2","79,8"
25-34,F,2012,"19,6","79,3"
35-44,F,2012,"20,2","77,7"
45-54,F,2012,"21,6","77,3"
55-64,F,2012,"20,1","78,1"
65-74,F,2012,"15,1","83,4"
>75,F,2012,"12,4","84,8"
14-17,M,2013,"24,8","72,1"
18-24,M,2013,"22,3","74,4"
25-34,M,2013,"21,3","75,8"
35-44,M,2013,"21,4","77,1"
45-54,M,2013,"24,9","73,8"
55-64,M,2013,"23,7","74,6"
65-74,M,2013,"21,4","77,2"
>75,M,2013,"18,2","80,3"
14-17,F,2013,"20,6","77,1"
18-24,F,2013,"18,3","79,5"
25-34,F,2013,"18,7","79,3"
35-44,F,2013,"20,6","78,2"
45-54,F,2013,"22,9","75,3"
55-64,F,2013,"22,3","75,9"
65-74,F,2013,"18,0","80,8"
>75,F,2013,"15,0","83,3"
14-17,M,2014,"27,5","68,3"
18-24,M,2014,"26,3","70,2"
25-34,M,2014,"23,1","74,1"
35-44,M,2014,"24,0","74,0"
45-54,M,2014,"25,9","72,1"
55-64,M,2014,"27,8","70,3"
65-74,M,2014,"23,9","74,8"
>75,M,2014,"17,6","80,5"
14-17,F,2014,"21,9","73,9"
18-24,F,2014,"21,1","76,3"
25-34,F,2014,"22,0","75,4"
35-44,F,2014,"25,5","73,0"
45-54,F,2014,"24,8","73,5"
55-64,F,2014,"22,7","75,6"
65-74,F,2014,"19,8","78,3"
>75,F,2014,"17,0","80,7"
14-17,M,2015,"24,4","71,0"
18-24,M,2015,"22,6","75,8"
25-34,M,2015,"20,8","77,0"
35-44,M,2015,"22,1","76,7"
45-54,M,2015,"23,2","75,4"
55-64,M,2015,"23,7","75,3"
65-74,M,2015,"19,7","79,2"
>75,M,2015,"16,4","82,4"
